g.name,gs.name,v.id
STAT1,TH1_helper_vs_all_TNK_positive,v_hs67b
STAT4,TH1_helper_vs_all_TNK_positive,v_hs67b
TBX21,TH1_helper_vs_all_TNK_positive,v_hs67b
IL12RB2,TH1_helper_vs_all_TNK_positive,v_hs67b
IFNG,TH1_helper_vs_all_TNK_positive,v_hs67b
CXCR3,TH1_helper_vs_all_TNK_positive,v_hs67b
HAVCR2,TH1_helper_vs_all_TNK_positive,v_hs67b
IL2RB,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
ITGAL,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
B3GAT1,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
CD44,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
IL7R,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
CD58,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
IFNG,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
FAS,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
GZMB,KLRG1neg_effector_vs_all_TNK_positive,v_hs73b
GZMB,TH22_helper_vs_all_TNK_positive,v_hs65b
IL13,TH22_helper_vs_all_TNK_positive,v_hs65b
PDGFRB,TH22_helper_vs_all_TNK_positive,v_hs65b
IL22,TH22_helper_vs_all_TNK_positive,v_hs65b
CCR10,TH22_helper_vs_all_TNK_positive,v_hs65b
TNF,TH22_helper_vs_all_TNK_positive,v_hs65b
PDGFRA,TH22_helper_vs_all_TNK_positive,v_hs65b
XBP1,B_plasma_blast_vs_all_B_positive,v_hs6b
IL6RA,B_plasma_blast_vs_all_B_positive,v_hs6b
ZBTB20,B_plasma_blast_vs_all_B_positive,v_hs6b
TNFRSF17,B_plasma_blast_vs_all_B_positive,v_hs6b
IL6ST,B_plasma_blast_vs_all_B_positive,v_hs6b
CXCR4,B_plasma_blast_vs_all_B_positive,v_hs6b
IRF4,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DPB1,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DQB1,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DQA1,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DRA,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DPA1,B_plasma_blast_vs_all_B_positive,v_hs6b
CD27,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DMB,B_plasma_blast_vs_all_B_positive,v_hs6b
MKI67,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DRB4,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DMA,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DRB3,B_plasma_blast_vs_all_B_positive,v_hs6b
HLA-DOB,B_plasma_blast_vs_all_B_positive,v_hs6b
CD38,B_plasma_blast_vs_all_B_positive,v_hs6b
SLAMF7,B_plasma_blast_vs_all_B_positive,v_hs6b
CCL17,M_mac_IL4_IL13_response,v_hs90
PDCD1LG2,M_mac_IL4_IL13_response,v_hs90
CCL24,M_mac_IL4_IL13_response,v_hs90
CCL22,M_mac_IL4_IL13_response,v_hs90
IRF4,M_mac_IL4_IL13_response,v_hs90
CDH1,M_mac_IL4_IL13_response,v_hs90
CCL8,M_mac_IL4_IL13_response,v_hs90
NR2F6,M_mac_IL4_IL13_response,v_hs90
CLEC7A,M_mac_IL4_IL13_response,v_hs90
CLEC10A,M_mac_IL4_IL13_response,v_hs90
IL13RA1,M_mac_IL4_IL13_response,v_hs90
PPARD,M_mac_IL4_IL13_response,v_hs90
MRC1,M_mac_IL4_IL13_response,v_hs90
IL4R,M_mac_IL4_IL13_response,v_hs90
RNASE2,M_mac_IL4_IL13_response,v_hs90
SOCS2,M_mac_IL4_IL13_response,v_hs90
PPARG,M_mac_IL4_IL13_response,v_hs90
ARG1,M_mac_IL4_IL13_response,v_hs90
S1PR4,Central_memory_vs_all_TNK_positive,v_hs78b
CD27,Central_memory_vs_all_TNK_positive,v_hs78b
CXCR3,Central_memory_vs_all_TNK_positive,v_hs78b
CD58,Central_memory_vs_all_TNK_positive,v_hs78b
CD44,Central_memory_vs_all_TNK_positive,v_hs78b
S1PR1,Central_memory_vs_all_TNK_positive,v_hs78b
IL7R,Central_memory_vs_all_TNK_positive,v_hs78b
CCR7,Central_memory_vs_all_TNK_positive,v_hs78b
ITGAL,Central_memory_vs_all_TNK_positive,v_hs78b
CD28,Central_memory_vs_all_TNK_positive,v_hs78b
SELL,Central_memory_vs_all_TNK_positive,v_hs78b
FAS,Central_memory_vs_all_TNK_positive,v_hs78b
IL2RB,Central_memory_vs_all_TNK_positive,v_hs78b
TGFB2,B_reg_vs_all_B_positive,v_hs11b
EBI3,B_reg_vs_all_B_positive,v_hs11b
IL12A,B_reg_vs_all_B_positive,v_hs11b
IL10,B_reg_vs_all_B_positive,v_hs11b
TGFB1,B_reg_vs_all_B_positive,v_hs11b
VEGFA,M_angiogenesis_regulation_positive,v_hs63b
FGF2,M_angiogenesis_regulation_positive,v_hs63b
ADM,M_angiogenesis_regulation_positive,v_hs63b
JAG1,M_angiogenesis_regulation_positive,v_hs63b
FGF1,M_angiogenesis_regulation_positive,v_hs63b
PDGFB,M_angiogenesis_regulation_positive,v_hs63b
SEMA4D,M_angiogenesis_regulation_positive,v_hs63b
CCL2,M_angiogenesis_regulation_positive,v_hs63b
ENG,M_angiogenesis_regulation_positive,v_hs63b
PDGFA,M_angiogenesis_regulation_positive,v_hs63b
TYMP,M_angiogenesis_regulation_positive,v_hs63b
ANGPT2,M_angiogenesis_regulation_positive,v_hs63b
STC1,M_angiogenesis_regulation_positive,v_hs63b
PLAU,M_angiogenesis_regulation_positive,v_hs63b
STC2,M_angiogenesis_regulation_positive,v_hs63b
PF4,M_angiogenesis_regulation_positive,v_hs63b
THBS1,M_angiogenesis_regulation_positive,v_hs63b
PDGFD,M_angiogenesis_regulation_positive,v_hs63b
TEK2,M_angiogenesis_regulation_positive,v_hs63b
